tweet_number,created_at,timestamp,text
1,1/20/2017 12:31:53,1/20/2017 8:31:53,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!
2,1/20/2017 17:51:25,1/20/2017 13:51:25,"Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring..."
3,1/20/2017 17:51:58,1/20/2017 13:51:58,"power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay"
4,1/20/2017 17:52:45,1/20/2017 13:52:45,"What truly matters is not which party controls our government, but whether our government is controlled by the people."
5,1/20/2017 17:53:17,1/20/2017 13:53:17,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again."
6,1/20/2017 17:54:00,1/20/2017 13:54:00,"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸"
7,1/20/2017 17:54:36,1/20/2017 13:54:36,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!
8,1/20/2017 17:55:44,1/20/2017 13:55:44,"We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!
#InaugurationDay #MAGA🇺🇸"
9,1/20/2017 17:58:24,1/20/2017 13:58:24,It is time to remember that...https://t.co/ZKyOiOor62
10,1/20/2017 18:00:43,1/20/2017 14:00:43,"So to all Americans, in every city near and far, small and large, from mountain to mountain...https://t.co/cZKkrGXLSi"
11,1/20/2017 18:13:48,1/20/2017 14:13:48,"TO ALL AMERICANS🇺🇸
https://t.co/D7Es6ie4fY"
12,1/21/2017 4:56:15,1/21/2017 0:56:15,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN🇺🇸 https://t.co/V3aoj9RUh4"
13,1/21/2017 11:53:41,1/21/2017 7:53:41,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!
14,1/21/2017 23:54:31,1/21/2017 19:54:31,"RT @WhiteHouse: ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""…"
15,1/22/2017 12:35:09,1/22/2017 8:35:09,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!"
16,1/22/2017 12:47:21,1/22/2017 8:47:21,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.
17,1/22/2017 12:51:36,1/22/2017 8:51:36,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!"
18,1/22/2017 14:23:17,1/22/2017 10:23:17,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views."
19,1/23/2017 11:38:16,1/23/2017 7:38:16,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.
20,1/24/2017 11:11:47,1/24/2017 7:11:47,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!
21,1/24/2017 16:58:06,1/24/2017 12:58:06,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0
22,1/24/2017 17:04:01,1/24/2017 13:04:01,"Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/OXdiLOkGsZ"
23,1/24/2017 17:49:17,1/24/2017 13:49:17,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off… https://t.co/aOxmfO0vOK
24,1/25/2017 0:46:57,1/24/2017 20:46:57,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8
25,1/25/2017 2:16:19,1/24/2017 22:16:19,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!
26,1/25/2017 2:25:40,1/24/2017 22:25:40,"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!"
27,1/25/2017 2:37:48,1/24/2017 22:37:48,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!"
