category,cat_word,genre,year,pronoun,word1,word2,word,total,,,,
he,he-loves,all,all,he,he,loves,loves,190,,,max,646
he,he-told,all,all,he,he,told,told,149,,,min,29
he,he-left,all,all,he,he,left,left,148,,,total,16200
he,he-takes,all,all,he,he,takes,takes,138,,,,
he,he-walked,all,all,he,he,walked,walked,131,,,,
he,he-looked,all,all,he,he,looked,looked,113,,,,
he,he-makes,all,all,he,he,makes,makes,107,,,,
he,he-walks,all,all,he,he,walks,walks,105,,,,
he,he-tastes,all,all,he,he,tastes,tastes,97,,,,
he,he-died,all,all,he,he,died,died,88,,,,
he,he-lives,all,all,he,he,lives,lives,84,,,,
he,he-likes,all,all,he,he,likes,likes,83,,,,
he,he-stood,all,all,he,he,stood,stood,79,,,,
he,he-loved,all,all,he,he,loved,loved,77,,,,
he,he-plays,all,all,he,he,plays,plays,71,,,,
he,he-feels,all,all,he,he,feels,feels,69,,,,
he,he-calls,all,all,he,he,calls,calls,67,,,,
he,he-talks,all,all,he,he,talks,talks,67,,,,
he,he-kissed,all,all,he,he,kissed,kissed,66,,,,
he,he-stands,all,all,he,he,stands,stands,64,,,,
he,he-started,all,all,he,he,started,started,60,,,,
he,he-cried,all,all,he,he,cried,cried,59,,,,
he,he-found,all,all,he,he,found,found,59,,,,
he,he-love,all,all,he,he,love,love,59,,,,
he,he-tells,all,all,he,he,tells,tells,55,,,,
his,his-eyes,all,all,his,his,eyes,eyes,382,,,,
his,his-head,all,all,his,his,head,head,367,,,,
his,his-life,all,all,his,his,life,life,348,,,,
his,his-hand,all,all,his,his,hand,hand,286,,,,
his,his-heart,all,all,his,his,heart,heart,261,,,,
his,his-mind,all,all,his,his,mind,mind,221,,,,
his,his-love,all,all,his,his,love,love,217,,,,
his,his-hands,all,all,his,his,hands,hands,200,,,,
his,his-arms,all,all,his,his,arms,arms,146,,,,
his,his-wife,all,all,his,his,wife,wife,135,,,,
his,his-feet,all,all,his,his,feet,feet,109,,,,
his,his-blood,all,all,his,his,blood,blood,107,,,,
his,his-mother,all,all,his,his,mother,mother,105,,,,
his,his-song,all,all,his,his,song,song,91,,,,
his,his-soul,all,all,his,his,soul,soul,91,,,,
his,his-son,all,all,his,his,son,son,86,,,,
his,his-hair,all,all,his,his,hair,hair,85,,,,
his,his-knees,all,all,his,his,knees,knees,83,,,,
his,his-eye,all,all,his,his,eye,eye,75,,,,
his,his-friends,all,all,his,his,friends,friends,70,,,,
his,his-ass,all,all,his,his,ass,ass,67,,,,
his,his-money,all,all,his,his,money,money,65,,,,
his,his-kiss,all,all,his,his,kiss,kiss,64,,,,
his,his-mouth,all,all,his,his,mouth,mouth,58,,,,
his,his-brain,all,all,his,his,brain,brain,57,,,,
him,him-him,all,all,him,love,him,love,217,,,,
him,him-him,all,all,him,told,him,told,149,,,,
him,him-him,all,all,him,hear,him,hear,141,,,,
him,him-him,all,all,him,call,him,call,133,,,,
him,him-him,all,all,him,leave,him,leave,100,,,,
him,him-him,all,all,him,bring,him,bring,92,,,,
him,him-him,all,all,him,loved,him,loved,75,,,,
him,him-him,all,all,him,send,him,send,63,,,,
him,him-him,all,all,him,watch,him,watch,60,,,,
him,him-him,all,all,him,adore,him,adore,59,,,,
