year,word1,word2,totalOccurences,totalPer,total
1967,he,left,87,68.966,6
1967,he,plays,87,34.483,6
1967,he,talks,87,68.966,6
1967,he,walked,87,45.977,4
1967,he,drowned,87,34.483,3
1967,he,froze,87,34.483,3
1967,he,leaves,87,34.483,3
1967,he,locked,87,34.483,3
1967,he,looked,87,34.483,3
1967,he,speaks,87,34.483,3
1967,he,taught,87,34.483,3
1967,he,wrote,87,34.483,3
1967,he,begs,87,22.989,2
1967,he,hung,87,22.989,2
1967,he,kindly,87,22.989,2
1967,he,paid,87,22.989,2
1967,he,presses,87,22.989,2
1967,he,sat,87,22.989,2
1967,he,told,87,22.989,2
1967,he,wore,87,22.989,2
1967,he,brought,87,11.494,1
1967,he,burst,87,11.494,1
1967,he,died,87,11.494,1
1967,he,dropped,87,11.494,1
1967,he,feels,87,11.494,1
1967,he,friends,87,11.494,1
1967,he,hates,87,11.494,1
1967,he,hit,87,11.494,1
1967,he,panicked,87,11.494,1
1967,he,ran,87,11.494,1
1967,he,raved,87,11.494,1
1967,he,sank,87,11.494,1
1967,he,spent,87,11.494,1
1967,he,stirred,87,11.494,1
1967,he,trembled,87,11.494,1
1967,he,wont,87,11.494,1
1968,he,sang,36,500,18
1968,he,left,36,111.111,4
1968,he,cranks,36,55.556,2
1968,he,brought,36,27.778,1
1968,he,laid,36,27.778,1
1968,he,lived,36,27.778,1
1968,he,looked,36,27.778,1
1968,he,loves,36,27.778,1
1968,he,owned,36,27.778,1
1968,he,puffs,36,27.778,1
1968,he,remember,36,27.778,1
1968,he,rests,36,27.778,1
1968,he,started,36,27.778,1
1968,he,stood,36,27.778,1
1968,he,threw,36,27.778,1
1969,he,answered,108,55.556,6
1969,he,ran,108,55.556,6
1969,he,tells,108,55.556,6
1969,he,told,108,37.037,4
1969,he,bit,108,27.778,3
1969,he,blows,108,27.778,3
1969,he,called,108,27.778,3
1969,he,calls,108,27.778,3
1969,he,disrespected,108,27.778,3
1969,he,gonna,108,27.778,3
1969,he,kicked,108,27.778,3
1969,he,left,108,27.778,3
1969,he,run,108,27.778,3
1969,he,stood,108,27.778,3
1969,he,swore,108,27.778,3
1969,he,awoke,108,18.519,2
1969,he,bent,108,18.519,2
1969,he,drinks,108,18.519,2
1969,he,grew,108,18.519,2
1969,he,hurt,108,18.519,2
1969,he,lay,108,18.519,2
1969,he,rides,108,18.519,2
1969,he,sat,108,18.519,2
1969,he,spoke,108,9.259,2
1969,he,swam,108,18.519,2
1969,he,talks,108,18.519,2
1969,he,visited,108,18.519,2
1969,he,cried,108,9.259,1
1969,he,died,108,9.259,1
1969,he,laughed,108,9.259,1
1969,he,led,108,9.259,1
1969,he,longs,108,9.259,1
1969,he,met,108,9.259,1
1969,he,moves,108,9.259,1
1969,he,ranted,108,9.259,1
1969,he,raved,108,9.259,1
1969,he,sank,108,9.259,1
1969,he,shook,108,9.259,1
1969,he,shouted,108,9.259,1
1969,he,smiled,108,9.259,1
1969,he,soars,108,9.259,1
1969,he,spent,108,9.259,1
1969,he,started,108,9.259,1
1969,he,trusted,108,9.259,1
1969,he,walked,108,9.259,1
1969,he,wanders,108,9.259,1
1969,he,whistles,108,9.259,1
1969,he,wrote,108,9.259,1
1970,he,alive,165,72.727,12
1970,he,blind,165,72.727,12
1970,he,fall,165,72.727,12
1970,he,lost,165,72.727,12
1970,he,moves,165,72.727,12
1970,he,traveled,165,72.727,12
1970,he,walk,165,72.727,12
1970,he,meant,165,54.545,9
1970,he,loved,165,48.485,8
1970,he,left,165,36.364,6
1970,he,told,165,36.364,6
1970,he,raised,165,24.242,4
1970,he,ran,165,24.242,4
1970,he,answered,165,12.121,2
1970,he,bag,165,12.121,2
1970,he,roller,165,12.121,2
1970,he,shoot,165,12.121,2
1970,he,shunned,165,12.121,2
1970,he,stay,165,12.121,2
1970,he,stayed,165,12.121,2
1970,he,stops,165,12.121,2
1970,he,wear,165,12.121,2
1970,he,appeared,165,6.061,1
1970,he,built,165,6.061,1
1970,he,cared,165,6.061,1
1970,he,died,165,6.061,1
1970,he,dream,165,6.061,1
1970,he,dropped,165,6.061,1
1970,he,fell,165,6.061,1
1970,he,heard,165,6.061,1
1970,he,laboured,165,6.061,1
1970,he,laid,165,6.061,1
1970,he,lived,165,6.061,1
1970,he,loves,165,6.061,1
1970,he,sat,165,6.061,1
1970,he,shoveled,165,6.061,1
1970,he,stands,165,6.061,1
1970,he,stop,165,6.061,1
