year,word1,word2,totalOccurences,totalPer,total
1967,hers,door,90,88.889,8
1967,hers,tho,90,88.889,8
1967,hers,cries,90,55.556,5
1967,hers,hair,90,55.556,5
1967,hers,parents,90,44.444,4
1967,hers,messin,90,33.333,3
1967,hers,beam,90,22.222,2
1967,hers,brother,90,22.222,2
1967,hers,cares,90,22.222,2
1967,hers,checkered,90,22.222,2
1967,hers,hand,90,22.222,2
1967,hers,horses,90,22.222,2
1967,hers,king,90,22.222,2
1967,hers,mind,90,11.111,2
1967,hers,"momma's",90,22.222,2
1967,hers,pretty,90,22.222,2
1967,hers,silver,90,22.222,2
1967,hers,waterways,90,22.222,2
1967,hers,world,90,22.222,2
1967,hers,alright,90,11.111,1
1967,hers,arms,90,11.111,1
1967,hers,bags,90,11.111,1
1967,hers,cheek,90,11.111,1
1967,hers,darling,90,11.111,1
1967,hers,destination,90,11.111,1
1967,hers,dreams,90,11.111,1
1967,hers,ecstasy,90,11.111,1
1967,hers,eyes,90,11.111,1
1967,hers,god,90,11.111,1
1967,hers,guests,90,11.111,1
1967,hers,heart,90,11.111,1
1967,hers,kentucky,90,11.111,1
1967,hers,laughter,90,11.111,1
1967,hers,life,90,11.111,1
1967,hers,lover,90,11.111,1
1967,hers,milk,90,11.111,1
1967,hers,mother,90,11.111,1
1967,hers,mountain,90,11.111,1
1967,hers,perfect,90,11.111,1
1967,hers,perfume,90,11.111,1
1967,hers,smile,90,11.111,1
1967,hers,stolen,90,11.111,1
1967,hers,style,90,11.111,1
1967,hers,tea,90,11.111,1
1967,hers,tight,90,11.111,1
1967,hers,touch,90,11.111,1
1967,hers,wavelength,90,11.111,1
1968,hers,figure,131,61.069,8
1968,hers,pain,131,45.802,6
1968,hers,dreams,131,38.168,5
1968,hers,apron,131,30.534,4
1968,hers,eyes,131,30.534,4
1968,hers,girlhood,131,30.534,4
1968,hers,god,131,30.534,4
1968,hers,hand,131,15.267,4
1968,hers,kentucky,131,30.534,4
1968,hers,mind,131,30.534,4
1968,hers,pa,131,30.534,4
1968,hers,treasures,131,30.534,4
1968,hers,chains,131,22.901,3
1968,hers,cryin,131,22.901,3
1968,hers,feet,131,22.901,3
1968,hers,fly,131,22.901,3
1968,hers,heart,131,22.901,3
1968,hers,pride,131,22.901,3
1968,hers,sad,131,22.901,3
1968,hers,shame,131,22.901,3
1968,hers,soft,131,22.901,3
1968,hers,ailin,131,15.267,2
1968,hers,boyfriend,131,15.267,2
