year,word1,word2,totalOccurences,totalPer,total
1967,her,leave,61,131.148,8
1967,her,shot,61,81.967,5
1967,her,caught,61,49.18,3
1967,her,ago,61,32.787,2
1967,her,bought,61,32.787,2
1967,her,caisson,61,32.787,2
1967,her,films,61,32.787,2
1967,her,forced,61,32.787,2
1967,her,girl,61,32.787,2
1967,her,hold,61,32.787,2
1967,her,love,61,32.787,2
1967,her,protected,61,32.787,2
1967,her,sea,61,32.787,2
1967,her,sporting,61,32.787,2
1967,her,switched,61,32.787,2
1967,her,told,61,16.393,2
1967,her,begrudge,61,16.393,1
1967,her,choose,61,16.393,1
1967,her,designed,61,16.393,1
1967,her,floor,61,16.393,1
1967,her,grinning,61,16.393,1
1967,her,held,61,16.393,1
1967,her,leaves,61,16.393,1
1967,her,left,61,16.393,1
1967,her,packed,61,16.393,1
1967,her,shoot,61,16.393,1
1967,her,tells,61,16.393,1
1967,her,touch,61,16.393,1
1967,her,touched,61,16.393,1
1967,her,trust,61,16.393,1
1967,her,wear,61,16.393,1
1968,her,met,114,96.491,11
1968,her,love,114,70.175,8
1968,her,call,114,52.632,6
1968,her,recognize,114,43.86,5
1968,her,closes,114,35.088,4
1968,her,found,114,17.544,4
1968,her,miner,114,35.088,4
1968,her,remembering,114,35.088,4
1968,her,told,114,35.088,4
1968,her,abandons,114,26.316,3
1968,her,allowed,114,26.316,3
1968,her,bring,114,26.316,3
1968,her,day,114,26.316,3
1968,her,hear,114,26.316,3
1968,her,sing,114,26.316,3
1968,her,stand,114,26.316,3
1968,her,wander,114,26.316,3
1968,her,denied,114,17.544,2
1968,her,inside,114,17.544,2
1968,her,"kill'ed",114,17.544,2
1968,her,loved,114,8.772,2
1968,her,night,114,17.544,2
1968,her,sat,114,17.544,2
1968,her,spread,114,17.544,2
1968,her,stole,114,17.544,2
1968,her,wit,114,17.544,2
1968,her,bound,114,8.772,1
1968,her,calling,114,8.772,1
1968,her,caught,114,8.772,1
1968,her,cried,114,8.772,1
1968,her,door,114,8.772,1
1968,her,drops,114,8.772,1
1968,her,embarrass,114,8.772,1
1968,her,held,114,8.772,1
1968,her,hold,114,8.772,1
1968,her,hurt,114,8.772,1
1968,her,leave,114,8.772,1
1968,her,mill,114,8.772,1
1968,her,planned,114,8.772,1
1968,her,sore,114,8.772,1
1968,her,speeding,114,8.772,1
1968,her,surprised,114,8.772,1
1968,her,tumblin,114,8.772,1
1968,her,yeah,114,8.772,1
1969,her,hear,80,75,6
1969,her,bringing,80,50,4
1969,her,free,80,50,4
1969,her,leave,80,25,4
1969,her,love,80,25,4
1969,her,tied,80,37.5,3
1969,her,bought,80,25,2
1969,her,brought,80,25,2
1969,her,buys,80,25,2
1969,her,cast,80,25,2
1969,her,dropped,80,25,2
1969,her,feeds,80,25,2
1969,her,found,80,25,2
1969,her,gal,80,25,2
1969,her,kiss,80,12.5,2
1969,her,makes,80,25,2
1969,her,sat,80,25,2
1969,her,swallowed,80,25,2
1969,her,watched,80,25,2
1969,her,wears,80,25,2
1969,her,betide,80,12.5,1
1969,her,black,80,12.5,1
1969,her,blue,80,12.5,1
1969,her,call,80,12.5,1
1969,her,called,80,12.5,1
1969,her,companion,80,12.5,1
1969,her,disguise,80,12.5,1
1969,her,dress,80,12.5,1
1969,her,ears,80,12.5,1
1969,her,fed,80,12.5,1
1969,her,feed,80,12.5,1
1969,her,fold,80,12.5,1
1969,her,hold,80,12.5,1
1969,her,ignore,80,12.5,1
1969,her,led,80,12.5,1
1969,her,milk,80,12.5,1
1969,her,reynardine,80,12.5,1
1969,her,spoke,80,12.5,1
1969,her,strained,80,12.5,1
1969,her,tellin,80,12.5,1
1969,her,tip,80,12.5,1
1969,her,touched,80,12.5,1
1969,her,trust,80,12.5,1
1969,her,watch,80,12.5,1
1970,her,shot,92,271.739,25
1970,her,caught,92,163.043,15
1970,her,shoot,92,54.348,5
1970,her,hangs,92,43.478,4
1970,her,hear,92,43.478,4
1970,her,heard,92,43.478,4
1970,her,lisa,92,43.478,4
1970,her,relieve,92,43.478,4
1970,her,escape,92,32.609,3
1970,her,rain,92,32.609,3
1970,her,told,92,32.609,3
1970,her,dropped,92,21.739,2
1970,her,earn,92,21.739,2
1970,her,free,92,21.739,2
1970,her,moon,92,21.739,2
1970,her,played,92,21.739,2
1970,her,waving,92,21.739,2
1970,her,change,92,10.87,1
1970,her,freed,92,10.87,1
1970,her,keepin,92,10.87,1
1970,her,provide,92,10.87,1
1970,her,sends,92,10.87,1
1970,her,set,92,10.87,1
1971,her,dagger,108,55.556,6
1971,her,loved,108,55.556,6
1971,her,found,108,18.519,4
1971,her,lift,108,37.037,4
1971,her,watched,108,37.037,4
1971,her,begged,108,27.778,3
1971,her,love,108,27.778,3
1971,her,morning,108,27.778,3
1971,her,watch,108,27.778,3
1971,her,break,108,18.519,2
1971,her,call,108,18.519,2
1971,her,hate,108,18.519,2
1971,her,held,108,18.519,2
1971,her,history,108,18.519,2
1971,her,hit,108,18.519,2
1971,her,kick,108,18.519,2
1971,her,leave,108,18.519,2
1971,her,life,108,18.519,2
1971,her,lost,108,18.519,2
1971,her,mail,108,18.519,2
1971,her,miss,108,18.519,2
1971,her,nancy,108,18.519,2
1971,her,set,108,18.519,2
1971,her,shining,108,18.519,2
1971,her,surround,108,18.519,2
1971,her,told,108,18.519,2
1971,her,wed,108,18.519,2
1971,her,betrayed,108,9.259,1
1971,her,bought,108,9.259,1
1971,her,bout,108,9.259,1
1971,her,branded,108,9.259,1
1971,her,brought,108,9.259,1
1971,her,caused,108,9.259,1
1971,her,danced,108,9.259,1
1971,her,feel,108,9.259,1
1971,her,heard,108,9.259,1
1971,her,heart,108,9.259,1
1971,her,hid,108,9.259,1
1971,her,hold,108,9.259,1
1971,her,laid,108,9.259,1
1971,her,lead,108,9.259,1
1971,her,lies,108,9.259,1
1971,her,low,108,9.259,1
1971,her,played,108,9.259,1
1971,her,pushed,108,9.259,1
1971,her,ripped,108,9.259,1
1971,her,shaking,108,9.259,1
1971,her,shield,108,9.259,1
1971,her,spread,108,9.259,1
1971,her,taking,108,9.259,1
1971,her,til,108,9.259,1
1971,her,trace,108,9.259,1
1971,her,track,108,9.259,1
1971,her,tree,108,9.259,1
1971,her,wiping,108,9.259,1
1971,her,wrote,108,9.259,1
1972,her,wore,85,211.765,18
1972,her,love,85,105.882,9
1972,her,seed,85,94.118,8
1972,her,tells,85,70.588,6
1972,her,reach,85,47.059,4
1972,her,leave,85,35.294,3
1972,her,beneath,85,23.529,2
1972,her,cried,85,23.529,2
1972,her,day,85,23.529,2
1972,her,door,85,23.529,2
1972,her,gods,85,23.529,2
1972,her,hurt,85,23.529,2
1972,her,kiss,85,23.529,2
1972,her,tumblin,85,23.529,2
1972,her,underneath,85,23.529,2
1972,her,wander,85,23.529,2
1972,her,watch,85,23.529,2
1972,her,yeah,85,23.529,2
1972,her,destroy,85,11.765,1
1972,her,forget,85,11.765,1
1972,her,head,85,11.765,1
1972,her,holds,85,11.765,1
1972,her,hurting,85,11.765,1
1972,her,kissed,85,11.765,1
1972,her,met,85,11.765,1
1972,her,painted,85,11.765,1
1972,her,spread,85,11.765,1
1972,her,sun,85,11.765,1
1972,her,time,85,11.765,1
1973,her,run,154,175.325,27
1973,her,broke,154,51.948,8
1973,her,lost,154,51.948,8
1973,her,till,154,38.961,6
1973,her,kissed,154,32.468,5
1973,her,love,154,32.468,5
1973,her,hear,154,25.974,4
1973,her,loves,154,12.987,4
1973,her,meant,154,25.974,4
1973,her,handing,154,19.481,3
1973,her,loose,154,19.481,3
1973,her,stand,154,19.481,3
1973,her,train,154,19.481,3
1973,her,wrestle,154,19.481,3
1973,her,breakin,154,12.987,2
1973,her,brushing,154,12.987,2
1973,her,call,154,6.494,2
1973,her,caught,154,12.987,2
1973,her,cherish,154,12.987,2
1973,her,city,154,12.987,2
1973,her,cut,154,12.987,2
1973,her,dream,154,12.987,2
1973,her,dug,154,12.987,2
1973,her,feel,154,12.987,2
1973,her,fire,154,12.987,2
1973,her,heard,154,12.987,2
1973,her,hexhamshire,154,12.987,2
1973,her,kiss,154,12.987,2
1973,her,lay,154,12.987,2
1973,her,leaves,154,12.987,2
1973,her,lord,154,12.987,2
1973,her,pretty,154,12.987,2
1973,her,remembered,154,12.987,2
1973,her,rubbin,154,12.987,2
1973,her,searched,154,12.987,2
1973,her,ticklin,154,12.987,2
1973,her,watch,154,12.987,2
1973,her,blows,154,6.494,1
1973,her,bought,154,6.494,1
1973,her,break,154,6.494,1
1973,her,called,154,6.494,1
1973,her,denied,154,6.494,1
1973,her,ease,154,6.494,1
1973,her,grease,154,6.494,1
1973,her,learn,154,6.494,1
1973,her,left,154,6.494,1
1973,her,phone,154,6.494,1
1973,her,silver,154,6.494,1
1973,her,slow,154,6.494,1
1973,her,smile,154,6.494,1
1973,her,told,154,6.494,1
1973,her,watched,154,6.494,1
1973,her,wipes,154,6.494,1
1974,her,love,31,193.548,6
1974,her,hold,31,96.774,3
1974,her,change,31,64.516,2
1974,her,destroy,31,64.516,2
1974,her,forget,31,64.516,2
1974,her,giving,31,64.516,2
1974,her,missed,31,64.516,2
1974,her,talk,31,64.516,2
1974,her,brought,31,32.258,1
1974,her,drug,31,32.258,1
1974,her,leave,31,32.258,1
1974,her,left,31,32.258,1
1974,her,losing,31,32.258,1
1974,her,makes,31,32.258,1
1974,her,tease,31,32.258,1
1975,her,love,53,207.547,11
1975,her,leave,53,75.472,4
1975,her,left,53,75.472,4
1975,her,locked,53,75.472,4
1975,her,red,53,56.604,3
1975,her,cover,53,37.736,2
1975,her,heard,53,37.736,2
1975,her,helped,53,37.736,2
1975,her,hunts,53,37.736,2
1975,her,someday,53,37.736,2
1975,her,street,53,37.736,2
1975,her,tease,53,37.736,2
1975,her,fill,53,18.868,1
1975,her,free,53,18.868,1
1975,her,hold,53,18.868,1
1975,her,picked,53,18.868,1
1975,her,quay,53,18.868,1
1975,her,seein,53,18.868,1
1975,her,start,53,18.868,1
1975,her,town,53,18.868,1
1975,her,treat,53,18.868,1
1975,her,wears,53,18.868,1
1976,her,call,74,108.108,8
1976,her,rip,74,94.595,7
1976,her,forget,74,67.568,5
1976,her,cross,74,54.054,4
1976,her,leave,74,54.054,4
1976,her,slap,74,54.054,4
1976,her,stomp,74,54.054,4
1976,her,love,74,40.541,3
1976,her,cast,74,27.027,2
1976,her,cursed,74,27.027,2
1976,her,hear,74,27.027,2
1976,her,left,74,27.027,2
1976,her,met,74,27.027,2
1976,her,nodded,74,27.027,2
1976,her,warned,74,27.027,2
1976,her,beat,74,13.514,1
1976,her,bought,74,13.514,1
1976,her,brings,74,13.514,1
1976,her,dollar,74,13.514,1
1976,her,dyin,74,13.514,1
1976,her,follow,74,13.514,1
1976,her,hold,74,13.514,1
1976,her,keeping,74,13.514,1
1976,her,leaves,74,13.514,1
1976,her,loves,74,13.514,1
1976,her,mailed,74,13.514,1
1976,her,makes,74,13.514,1
1976,her,punch,74,13.514,1
1976,her,pushed,74,13.514,1
1976,her,sing,74,13.514,1
1976,her,someday,74,13.514,1
1976,her,starr,74,13.514,1
1976,her,taught,74,13.514,1
1977,her,taught,76,78.947,6
1977,her,wears,76,78.947,6
1977,her,change,76,52.632,4
1977,her,forget,76,52.632,4
1977,her,pressed,76,52.632,4
1977,her,bought,76,39.474,3
1977,her,filing,76,39.474,3
1977,her,bitin,76,26.316,2
1977,her,bring,76,13.158,2
1977,her,brushes,76,26.316,2
1977,her,control,76,26.316,2
1977,her,cryin,76,26.316,2
1977,her,fill,76,26.316,2
1977,her,hurts,76,26.316,2
1977,her,left,76,26.316,2
1977,her,lifts,76,26.316,2
1977,her,loans,76,26.316,2
1977,her,night,76,26.316,2
1977,her,promised,76,26.316,2
1977,her,woman,76,26.316,2
1977,her,bear,76,13.158,1
1977,her,burning,76,13.158,1
1977,her,calls,76,13.158,1
1977,her,clutched,76,13.158,1
1977,her,feel,76,13.158,1
1977,her,fuck,76,13.158,1
1977,her,hit,76,13.158,1
1977,her,hold,76,13.158,1
1977,her,kissed,76,13.158,1
1977,her,lost,76,13.158,1
