,created_at,favorite_count,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,possibly_sensitive,quoted_status_id,quoted_status_id_str,retweet_count,source,text,truncated,inc_link,inc_hashtag,inc_mentions_screenName,inc_mentions_name,inc_media_url,user_desc,user_followers_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,retweeted_text,retweeted_id,retweeted_screenName,retweeted_user_id,quoted_status_text,quoted_status_userId,quoted_status_screenName
295,2017-04-28 23:26:18,85804,858100088253669376,858100088253669376,,,,,,False,en,,,,23607,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","North Korea disrespected the wishes of China &amp; its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",False,,,,,,45th President of the United States of America,29857175,70013,"Washington, DC",Donald J. Trump,realDonaldTrump,34918,,,,,,,
296,2017-04-28 22:31:25,35290,858086278037950464,858086278037950464,,,,,,False,en,,,,5270,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I will be interviewed by @MarthaMaccallum on @FoxNews tonight at 7pm. Enjoy!,False,,,marthamaccallum,martha maccallum,,45th President of the United States of America,29774541,69859,"Washington, DC",Donald J. Trump,realDonaldTrump,34917,,,,,,,
297,2017-04-28 12:15:59,80923,857931397562085376,857931397562085376,,,,,,False,en,,,,15687,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We are making tremendous progress with the V. A. There has never been so much done so quickly, and we have just started. We love our VETS!",False,,,,,,45th President of the United States of America,29737626,70066,"Washington, DC",Donald J. Trump,realDonaldTrump,34916,,,,,,,
298,2017-04-28 12:12:15,0,857930456767111168,857930456767111168,,,,,,False,en,,,,8871,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @foxandfriends: Former President Obama's $400K Wall Street speech stuns liberal base; Sen. Warren saying she ""was troubled by that"" http…",False,,,foxandfriends,FOX & friends,,45th President of the United States of America,29720068,69825,"Washington, DC",Donald J. Trump,realDonaldTrump,34915,"Former President Obama's $400K Wall Street speech stuns liberal base; Sen. Warren saying she ""was troubled by that"" https://t.co/mEc9YZr1pD",8.579178281956966e+17,,,,,
299,2017-04-27 22:43:19,47087,857726884045496325,857726884045496320,,,,,,False,en,0.0,,,10888,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Today, I signed an Executive Order on Improving Accountability and Whistleblower Protection at the @DeptVetAffairs:… https://t.co/UQ6VNCyhlj",True,twitter.com/i/web/status/8…,,DeptVetAffairs,Veterans Affairs,,45th President of the United States of America,29720319,69590,"Washington, DC",Donald J. Trump,realDonaldTrump,34914,,,,,,,
300,2017-04-27 21:42:47,28019,857711651952500737,857711651952500736,,,,,,False,en,0.0,,,5682,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Presidential Memorandum for the @CommerceGov, @SecretaryRoss re: Aluminum Imports and Threats to National Security:… https://t.co/GnKoVz9GTO",True,twitter.com/i/web/status/8…,,CommerceGov,U.S. Commerce Dept.,,45th President of the United States of America,29666325,69930,"Washington, DC",Donald J. Trump,realDonaldTrump,34913,,,,,,,
301,2017-04-27 18:59:31,53257,857670562478518273,857670562478518272,,,,,,False,en,0.0,,,11903,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",.@FLOTUS Melania and I were honored to welcome Argentina President @MauricioMacri and First Lady Juliana Awada to t… https://t.co/gR3EPznu1H,True,twitter.com/i/web/status/8…,,FLOTUS,Melania Trump,,45th President of the United States of America,29550586,69520,"Washington, DC",Donald J. Trump,realDonaldTrump,34913,,,,,,,
302,2017-04-27 14:39:25,60100,857605104417026049,857605104417026048,,,,,,False,en,,,,15106,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",As families prepare for summer vacations in our National Parks - Democrats threaten to close them and shut down the government. Terrible!,False,,,,,,45th President of the United States of America,29530747,69620,"Washington, DC",Donald J. Trump,realDonaldTrump,34912,,,,,,,
303,2017-04-27 14:39:04,58783,857605018266062848,857605018266062848,,,,,,False,en,,,,14250,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Democrats used to support border security — now they want illegals to pour through our borders.,False,,,,,,45th President of the United States of America,29508016,69494,"Washington, DC",Donald J. Trump,realDonaldTrump,34911,,,,,,,
304,2017-04-27 14:38:14,49170,857604808676708353,857604808676708352,,,,,,False,en,,,,11998,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Democrats jeopardizing the safety of our troops to bail out their donors from insurance companies. It is time to put #AmericaFirst🇺🇸,False,,AmericaFirst,,,,45th President of the United States of America,29502543,69308,"Washington, DC",Donald J. Trump,realDonaldTrump,34910,,,,,,,
305,2017-04-27 14:37:51,60227,857604709829529601,857604709829529600,,,,,,False,en,,,,13850,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",What's more important? Rebuilding our military - or bailing out insurance companies? Ask the Democrats.,False,,,,,,45th President of the United States of America,29501723,69279,"Washington, DC",Donald J. Trump,realDonaldTrump,34909,,,,,,,
306,2017-04-27 14:37:30,60475,857604623531749376,857604623531749376,,,,,,False,en,,,,13168,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!,False,,,,,,45th President of the United States of America,29468976,69501,"Washington, DC",Donald J. Trump,realDonaldTrump,34908,,,,,,,
307,2017-04-27 14:37:09,45485,857604537003200512,857604537003200512,,,,,,False,en,,,,9750,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I want to help our miners while the Democrats are blocking their healthcare.,False,,,,,,45th President of the United States of America,29446834,69556,"Washington, DC",Donald J. Trump,realDonaldTrump,34907,,,,,,,
308,2017-04-27 11:30:20,70532,857557522584088576,857557522584088576,,,,,,False,en,,,,17627,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!,False,,,,,,45th President of the United States of America,29343203,69335,"Washington, DC",Donald J. Trump,realDonaldTrump,34906,,,,,,,
309,2017-04-27 11:21:20,49344,857555256003227648,857555256003227648,,,,,,False,en,,,,10139,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","...subject to the fact that if we do not reach a fair deal for all, we will then terminate NAFTA. Relationships are good-deal very possible!",False,,,,,,45th President of the United States of America,29264949,69238,"Washington, DC",Donald J. Trump,realDonaldTrump,34905,,,,,,,
310,2017-04-27 11:12:12,70369,857552956836786177,857552956836786176,,,,,,False,en,,,,16068,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed..,False,,,,,,45th President of the United States of America,29260038,69505,"Washington, DC",Donald J. Trump,realDonaldTrump,34904,,,,,,,
311,2017-04-26 23:06:16,53315,857370270776086528,857370270776086528,,,,,,False,en,,,,15456,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Democrats are trying to bail out insurance companies from disastrous #ObamaCare, and Puerto Rico with your tax dollars. Sad!",False,,ObamaCare,,,,45th President of the United States of America,29191603,69157,"Washington, DC",Donald J. Trump,realDonaldTrump,34903,,,,,,,
312,2017-04-26 22:27:29,48958,857360510534209536,857360510534209536,,,,,,False,en,0.0,,,9583,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A great great honor to welcome &amp; recognize the National Teacher of the Year, as well as the Teacher of the Year fro… https://t.co/pUGl7RDoVX",True,twitter.com/i/web/status/8…,,,,,45th President of the United States of America,29177397,69245,"Washington, DC",Donald J. Trump,realDonaldTrump,34902,,,,,,,
313,2017-04-26 20:49:16,40150,857335793261568000,857335793261568000,,,,,,False,en,0.0,,,9096,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Today, I signed an Executive Order on Enforcing Statutory Prohibitions on Federal Control of Education. EO:… https://t.co/YYafFQncbC",True,twitter.com/i/web/status/8…,,,,,45th President of the United States of America,29176845,69226,"Washington, DC",Donald J. Trump,realDonaldTrump,34901,,,,,,,
314,2017-04-26 18:10:04,33556,857295731929034753,857295731929034752,,,,,,False,en,0.0,,,7154,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Today, I signed an Executive Order @ the U.S. Dept. of @Interior: 'Review of Designations Under the Antiquities Act… https://t.co/Eq6JDzMqTY",True,twitter.com/i/web/status/8…,,Interior,US Dept of Interior,,45th President of the United States of America,29132535,69223,"Washington, DC",Donald J. Trump,realDonaldTrump,34900,,,,,,,
315,2017-04-26 14:53:26,84968,857246245672366081,857246245672366080,,,,,,False,en,0.0,,,18236,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HAPPY BIRTHDAY to our @FLOTUS, Melania! 
https://t.co/rYYp51mxDQ https://t.co/np7KYHglSv",False,45.wh.gov/9zVkh6,,FLOTUS,Melania Trump,http://pbs.twimg.com/media/C-WM3GbVYAA4AHD.jpg,45th President of the United States of America,29129214,69106,"Washington, DC",Donald J. Trump,realDonaldTrump,34899,,,,,,,
316,2017-04-26 10:51:06,47306,857185261029126144,857185261029126144,,,,,,False,en,,,,9412,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,False,,,,,,45th President of the United States of America,29126376,69357,"Washington, DC",Donald J. Trump,realDonaldTrump,34898,,,,,,,
317,2017-04-26 10:38:51,56713,857182179469774848,857182179469774848,,,,,,False,en,,,,12802,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","...the Ninth Circuit, which has a terrible record of being overturned (close to 80%). They used to call this ""judge shopping!"" Messy system.",False,,,,,,45th President of the United States of America,29124688,69294,"Washington, DC",Donald J. Trump,realDonaldTrump,34897,,,,,,,
318,2017-04-26 10:30:54,49108,857180178736459776,857180178736459776,,,,,,False,en,,,,10409,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Out of our very big country, with many choices, does everyone notice that both the ""ban"" case and now the ""sanctuary"" case is brought in ...",False,,,,,,45th President of the United States of America,29124041,69265,"Washington, DC",Donald J. Trump,realDonaldTrump,34896,,,,,,,
319,2017-04-26 10:20:00,68417,857177434210304001,857177434210304000,,,,,,False,en,,,,17485,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",First the Ninth Circuit rules against the ban &amp; now it hits again on sanctuary cities-both ridiculous rulings. See you in the Supreme Court!,False,,,,,,45th President of the United States of America,29125182,69252,"Washington, DC",Donald J. Trump,realDonaldTrump,34895,,,,,,,
