league,first,trophySelector,colour,sport,championship,trophy,month,nextStep,prevStep,whereToNext,whereToPrev,yearFirst,year,number,date,note,t1,t1loc,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NCAA D1 - Men,TRUE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step3,step1,11,1,1870,1870,1,1/1/1870,NCF,Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step3,step1,11,1,,1870,2,1/1/1870,NCF,Rutgers University,"New Brunswick, New Jersey","[-74.4518188, 40.4862157]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step4,step1,11,1,1871,1871,3,1/1/1871,NCF,Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step5,step3,11,1,1873,1873,4,1/1/1873,NCF,Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step6,step4,11,1,1874,1874,5,1/1/1874,NCF,Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step7,step5,11,1,1875,1875,6,1/1/1875,NCF,Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step8,step6,11,1,1876,1876,7,1/1/1876,NCF,Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step9,step7,11,1,1877,1877,8,1/1/1877,NCF,Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step10,step8,11,1,1878,1878,9,1/1/1878,NCF,Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step11,step9,11,1,1879,1879,10,1/1/1879,NCF,Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
