league,number,sport,championship,month,year,date,t1,t1loc
NCAA D1 - Men,1,american_football-men,FBS,January,1870,1/1/1870,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,2,american_football-men,FBS,January,1870,1/1/1870,Rutgers University,"New Brunswick, New Jersey"
NCAA D1 - Men,3,american_football-men,FBS,January,1871,1/1/1871,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,4,american_football-men,FBS,January,1873,1/1/1873,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,5,american_football-men,FBS,January,1874,1/1/1874,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,6,american_football-men,FBS,January,1875,1/1/1875,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,7,american_football-men,FBS,January,1876,1/1/1876,Harvard University,"Cambridge, Massachusetts"
NCAA D1 - Men,8,american_football-men,FBS,January,1877,1/1/1877,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,9,american_football-men,FBS,January,1878,1/1/1878,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,10,american_football-men,FBS,January,1879,1/1/1879,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,11,american_football-men,FBS,January,1880,1/1/1880,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,12,american_football-men,FBS,January,1881,1/1/1881,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,13,american_football-men,FBS,January,1881,1/1/1881,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,14,american_football-men,FBS,January,1882,1/1/1882,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,15,american_football-men,FBS,January,1883,1/1/1883,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,16,american_football-men,FBS,January,1884,1/1/1884,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,17,american_football-men,FBS,January,1885,1/1/1885,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,18,american_football-men,FBS,January,1886,1/1/1886,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,19,american_football-men,FBS,January,1887,1/1/1887,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,20,american_football-men,FBS,January,1888,1/1/1888,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,21,american_football-men,FBS,January,1889,1/1/1889,Yale University,"New Haven, Connecticut"
